address,age,area,bathroom,bedroom,direction,facade,floors,house_type,price
" Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",, 31 m,,,,,3 lầu,," 1,5 tỷ "
" Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",, 30 m,,,,,5 lầu,," 2,6 tỷ "
" Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",, 35 m,,,,,5 lầu,," 3,1 tỷ "
" Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội",, 153 m,,,,,10 lầu,, 35 ngàn 
" Đường Lưu Hữu Phước, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",, 125 m,,,,,5 lầu,, 17 tỷ 
" Hà Nội Đường Quốc lộ 32, Thị trấn Trạm Trôi, Huyện Hoài Đức, Hà Nội",, 145 m,,,,,,," 8,5 tỷ "
" Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",, 120 m,,,,,5 lầu,," 14,5 tỷ "
" Hà Nội Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",, 96 m,,,,,,, 25 tỷ 
" Tỉnh lộ 420, Xã Bình Yên, Huyện Thạch Thất, Hà Nội",, 93 m,,,,,,, 980 triệu 
" Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",, 65 m,,,,,5 lầu,," 13,6 tỷ "
" Hà Nội Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",, 1.000 m,,,,,,, 45 tỷ 
" Phố Xã Đàn, Phường Trung Phụng, Quận Đống Đa, Hà Nội",, 60 m,,,,,6 lầu,, 29 tỷ 
" Phố Xã Đàn, Phường Nam Đồng, Quận Đống Đa, Hà Nội",, 34 m,,,,,6 lầu,," 11,2 tỷ "
" Đường Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",, 99 m,,,,,5 lầu,," 10,8 tỷ "
" Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",, 150 m,,,,,8 lầu,, 16 tỷ 
" Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",, 30 m,,,,,4 lầu,," 2,86 tỷ "
" Phố Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",, 27 m,,,,,5 lầu,," 2,6 tỷ "
" Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội",, 56 m,,,,,5 lầu,," 15,9 tỷ "
" Đường Bưởi, Phường Cống Vị, Quận Ba Đình, Hà Nội",, 66 m,,,,,7 lầu,," 12,5 tỷ "
" Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",, 40 m,,,,,4 lầu,," 3,6 tỷ "
" Đường T, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",, 65 m,,,,,,," 4,9 tỷ "
" Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",, 65 m,,,,,5 lầu,," 15,9 tỷ "
" Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",, 30 m,,,,,5 lầu,," 3,1 tỷ "
" Tỉnh lộ 420, Xã Bình Yên, Huyện Thạch Thất, Hà Nội",, 74 m,,,,,,, 1 tỷ 
" Đường Liên tỉnh 179, Xã Kiêu Kỵ, Huyện Gia Lâm, Hà Nội",, 111 m,,,,,,," 3,788 tỷ "
" Hà Nội Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",, 145 m,,,,,,, 45 tỷ 
" Đường Phú Cát, Xã Phú Cát, Huyện Quốc Oai, Hà Nội",, 100 m,,,,,,," 1,7 tỷ "
" Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",, 208 m,,,,,8 lầu,," 59,9 tỷ "
" Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",, 25 m,,,,,5 lầu,," 2,17 tỷ "
" Đường Tựu Liệt, Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội",, 37 m,,,,,4 lầu,," 2,52 tỷ "
" Phú diễn Đường Phú Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",, 71 m,,,,,,," 5,1 tỷ "
" Quốc lộ 21A, Xã Phú Cát, Huyện Quốc Oai, Hà Nội",, 100 m,,,,,,," 1,8 tỷ "
" Đường Nam Đuống, Phường Thượng Thanh, Quận Long Biên, Hà Nội",, 100 m,,,,,4 lầu,," 4,5 tỷ "
" Đường Lạc Trung Phố Lạc Trung, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",, 70 m,,,,,3 lầu,, 9 tỷ 
" Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",, 61 m,,,,,5 lầu,, 6 tỷ 
