address,area,direction,furniture,numBath,numBed,numFloor,price,type,type_detail,url
"Đường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",36.0,,,4,4,,2.89,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/90434538.htm
"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",39.0,,,4,3,,5.2,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/90461283.htm
"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",56.0,,,,4,5,10.7,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/90461368.htm
"Tổ 12, Phường Thạch Bàn, Quận Long Biên, Hà Nội",35.0,Đông Nam,Nội thất đầy đủ,4,3,5,3.69,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/90461384.htm
"34/12, Đường Âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Hà Nội",73.0,,,5,4,5,7.0,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/90395380.htm
"Đường Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",37.0,,,2,2,2,1.25,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/86623290.htm
"Đường Văn Chương 2, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",45.0,,Nội thất cao cấp,2,4,,5.3,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/89851456.htm
"Đường Cát Linh, Phường Cát Linh, Quận Đống Đa, Hà Nội",38.0,,,,3,,4.5,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/90460567.htm
"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",30.0,,,4,3,,3.0,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/90460622.htm
"Yên Lãng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",50.0,,Nội thất đầy đủ,Nhiều hơn 6 phòng,8,5,5.9,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/90460675.htm
"Đường Phú Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",50.0,,,3,3,,3.05,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/90430054.htm
"Đường Trần Cung, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",35.0,Đông Bắc,Hoàn thiện cơ bản,5,4,5,3.5,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/90460833.htm
"Đường Khương Thượng, Phường Khương Thượng, Quận Đống Đa, Hà Nội",20.0,,Nội thất đầy đủ,3,3,5,1.985,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/86654018.htm
Đường Kim Giang,39.0,,,3,4,5,4.0,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/90460849.htm
"Đường Văn Tiến Dũng, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",55.0,Đông Nam,Nội thất đầy đủ,1,2,1,2.6,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/88671783.htm
"Đường Bát Khối, Phường Long Biên, Quận Long Biên, Hà Nội",30.0,,Hoàn thiện cơ bản,4,3,5,2.83,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/90460918.htm
"KĐT Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội",54.0,,Nội thất cao cấp,,6,,7.0,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/90460379.htm
"Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",56.0,,,2,3,3,0.0047,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/90460384.htm
"KĐT Nam La Khê, Phường La Khê, Quận Hà Đông, Hà Nội",71.0,,Hoàn thiện cơ bản,4,4,4,7.6,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/90460417.htm
"Đường Tân Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",66.0,,Nội thất cao cấp,Nhiều hơn 6 phòng,nhiều hơn 10 phòng,8,13.46,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/87675691.htm
"Tổ 14, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",34.0,Đông Nam,Hoàn thiện cơ bản,3,3,4,1.57,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/90090638.htm
"Đường Lê Xuân Điệp, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",45.8,Nam,,1,1,,4.85,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/89564022.htm
"Đường Yên Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",44.0,Nam,Hoàn thiện cơ bản,3,4,5,3.2,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/90459619.htm
Đường Lương Ngọc Quyến,40.0,,,3,4,4,5.0,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/90404473.htm
"111D, Tổ 7 Đa Sỹ, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",30.0,Đông Nam,Nội thất đầy đủ,,2,2,2.19,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/90415915.htm
"Đường Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",40.0,,Nội thất cao cấp,3,3,4,7.0,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/90240912.htm
"25, Đường Phú Minh, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",32.0,Bắc,Nội thất đầy đủ,4,4,5,2.65,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/90459921.htm
Đường Thái Thịnh 1,34.0,,,3,4,,6.3,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/88231683.htm
"Khu đô thị Văn Khê, Phường La Khê, Quận Hà Đông, Hà Nội",186.0,,Nội thất đầy đủ,,6,3,20.0,Nhà ở,Nhà biệt thự,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/90460022.htm
"Đường Trần Cung, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",50.0,Đông,Nội thất cao cấp,4,4,8,15.0,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/90460028.htm
"Đường Quang Trung, Phường La Khê, Quận Hà Đông, Hà Nội",41.0,Đông Bắc,,2,2,2,2.95,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/90460030.htm
"Đường Xuân Thủy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",37.0,,Nội thất cao cấp,4,3,5,3.1,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/90458971.htm
"Tổ 7, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",34.0,Tây Bắc,Hoàn thiện cơ bản,3,3,4,2.78,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/90346624.htm
"Đường Bạch Mai, Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội",30.0,,,,3,,2.25,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/90460158.htm
Đồng Dinh,36.0,,Nội thất đầy đủ,4,3,5,2.32,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/89910726.htm
"Đường Bờ Sông Set, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",43.0,,Nội thất đầy đủ,4,3,4,6.15,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/88985572.htm
"Ql 32, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",34.0,Tây,Nội thất đầy đủ,4,5,5,3.65,Nhà ở,Nhà biệt thự,https://nha.chotot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/90172283.htm
"9C2 ngõ 460/7/15, Đường Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Hà Nội",42.0,Đông Nam,,4,5,4,4.4,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/90460217.htm
"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",38.0,,Hoàn thiện cơ bản,3,3,5,3.55,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/90460257.htm
Đường Thịnh Liệt,50.0,Đông Nam,Nội thất đầy đủ,4,5,5,5.8,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/89777105.htm
Đường Ỷ La,34.0,Bắc,Hoàn thiện cơ bản,3,4,4,2.35,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/88887921.htm
KDT Time city minh khai,80.0,Đông Nam,Nội thất cao cấp,5,5,5,22.5,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/90461069.htm
"Lê Thanh Nghị, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",38.0,,Hoàn thiện cơ bản,3,4,5,3.3,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/90461137.htm
"Đường Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",54.0,,,4,4,,8.3,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/90461185.htm
"Đường Đặng Văn Ngữ, Phường Trung Tự, Quận Đống Đa, Hà Nội",45.0,,,1,1,,8.3,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/90461219.htm
"Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",34.0,,Hoàn thiện cơ bản,3,3,5,2.2,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/89700679.htm
"Đường Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",31.0,Đông Nam,Hoàn thiện cơ bản,2,3,,1.12,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/88988634.htm
"Đường Đại An, Phường Văn Quán, Quận Hà Đông, Hà Nội",54.0,Tây Bắc,Nội thất đầy đủ,5,4,5,7.0,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/90461978.htm
"Đường Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Hà Nội",40.0,Đông Nam,,4,4,,4.2,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/90462006.htm
"Đường Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",66.0,,,,4,,12.9,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/90462069.htm
"Đường Trương Văn Đa, Phường Quang Trung, Quận Hà Đông, Hà Nội",45.0,,,2,2,,3.95,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/90462105.htm
"Đường Ngô Thì Nhậm||1826, Phường Quang Trung, Quận Hà Đông, Hà Nội",50.0,,Nội thất đầy đủ,4,5,5,5.54,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/89655888.htm
"Ô Đồng Lầm, Phường Phương Liên, Quận Đống Đa, Hà Nội",35.0,,Nội thất đầy đủ,4,4,5,4.89,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/90162998.htm
"Đường Cầu Diễn, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",34.0,,Hoàn thiện cơ bản,3,4,5,3.5,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/90462418.htm
"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",30.0,,,4,4,4,2.65,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/90462447.htm
"Đường Hoàng Đạo Thành, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",40.0,,Nội thất cao cấp,5,4,5,3.65,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/90462477.htm
"Đường Đại Linh, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",38.0,,Nội thất đầy đủ,4,3,4,2.75,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/90173229.htm
Đường Trương Định,17.0,,,1,2,,1.4,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/90126720.htm
"Phố Quán Thánh, Phường Quán Thánh, Quận Ba Đình, Hà Nội",37.0,,,2,2,,5.5,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/90243392.htm
"Trường Chinh, Phường Phương Mai, Quận Đống Đa, Hà Nội",65.0,Nam,Nội thất cao cấp,4,5,,5.35,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/90464647.htm
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",35.0,,Nội thất cao cấp,2,3,,4.5,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/90377071.htm
"298, Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",42.0,,Nội thất đầy đủ,3,4,4,3.5,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/90464767.htm
"Đường Hoàng Hoa Thám, Quận Ba Đình, Hà Nội",35.0,Nam,Nội thất đầy đủ,4,3,5,3.85,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/90464770.htm
"Đường Ngõ Quỳnh, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",25.0,,Hoàn thiện cơ bản,3,3,5,2.7,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/90464797.htm
"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",33.0,Đông Bắc,Nội thất đầy đủ,3,5,4,1.95,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/89962643.htm
"Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",59.0,,Nội thất đầy đủ,3,3,,5.85,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/90467475.htm
"Đường Thanh Lãm, Phường Phú Lãm, Quận Hà Đông, Hà Nội",34.0,Tây Nam,Nội thất đầy đủ,3,3,3,1.94,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/89906001.htm
"Đường Bát Khối, Phường Long Biên, Quận Long Biên, Hà Nội",34.0,,Hoàn thiện cơ bản,4,3,5,3.09,Nhà ở,Nhà mặt phố,https://nha.chotot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/90343744.htm
"Đường Chợ Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",33.0,,,3,4,4,2.85,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/90432923.htm
"tự lập, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",35.0,,Hoàn thiện cơ bản,3,3,,2.15,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/88228316.htm
"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",20.0,Bắc,Hoàn thiện cơ bản,4,3,4,2.25,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/90338389.htm
"Đường Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",100.0,,Nội thất đầy đủ,Nhiều hơn 6 phòng,nhiều hơn 10 phòng,9,0.015,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/90369778.htm
"Đường Ngô Gia Tự, Phường Việt Hưng, Quận Long Biên, Hà Nội",40.0,,,4,4,4,3.5,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/90460334.htm
"Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",35.0,Bắc,Nội thất đầy đủ,3,4,4,2.7,Nhà ở,Nhà ngõ,https://nha.chotot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/90332158.htm
