address,facade,direction,age,area,bedroom,bathroom,floors,house_type,price,additional_info
" Phố Núi Trúc, Phường Kim Mã, Quận Ba Đình, Hà Nội",8.0,,,82.0,3,,4,Nhà mặt tiền,15.2,AdditionalInfo(street_size=[6.0])
" Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",5.0,,,70.0,7,,7,Văn phòng,2.3,AdditionalInfo(street_size=[6.0])
" Đường Nguyễn Khang, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",5.0,,,90.0,5,,5,Nhà mặt tiền,1.65,AdditionalInfo(street_size=[6.0])
" Đường Đê Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",5.2,,,60.0,1,,5,Nhà trong hẻm,8.0,AdditionalInfo(street_size=[5.0])
" XX Phố Hàng Dầu, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội",4.4,,,111.0,6,,4,Nhà mặt tiền,110.0,AdditionalInfo(street_size=[20.0])
" Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",,,,60.0,5,,5,Nhà mặt tiền,5.0,AdditionalInfo(street_size=[5.0])
" Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",4.0,,,60.0,6,,5,Nhà mặt tiền,6.2,AdditionalInfo(street_size=[3.0])
" Hà Nội Đường Quốc lộ 32, Thị trấn Trạm Trôi, Huyện Hoài Đức, Hà Nội",,,,145.0,---,,,"Biệt thự, nhà liền kề",8.5,AdditionalInfo(street_size=[13.0])
" Tỉnh lộ 420, Xã Bình Yên, Huyện Thạch Thất, Hà Nội",6.0,,,74.0,---,,,"Đất nền, liền kề, đất dự án",1.0,AdditionalInfo(street_size=[5.0])
" Đường Nguyễn Khang, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",,,,68.0,4,,7,Nhà trong hẻm,12.6,AdditionalInfo(street_size=[6.0])
" Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",4.0,Đông Nam,,31.0,3,,3,Nhà mặt tiền,1.5,AdditionalInfo(street_size=[3.0])
" Phố Xã Đàn, Phường Trung Phụng, Quận Đống Đa, Hà Nội",8.0,,,60.0,5,,6,Nhà mặt tiền,29.0,AdditionalInfo(street_size=[8.0])
" Phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",6.6,,,71.0,7,,7,Nhà mặt tiền,36.8,AdditionalInfo(street_size=[20.0])
" Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",,,,105.0,---,,,Nhà mặt tiền,33.0,AdditionalInfo(street_size=[24.0])
" Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",3.0,,,24.0,3,,4,Nhà trong hẻm,2.2,AdditionalInfo(street_size=[2.5])
" Đường Thiên Hiền, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",5.0,,,120.0,26,,7,Nhà mặt tiền,12.0,AdditionalInfo(street_size=[5.0])
" Phố Khương Thượng, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",3.5,,,39.0,3,,5,Nhà trong hẻm,4.7,AdditionalInfo(street_size=[2.5])
" Phố Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",,,,50.0,4,,5,Nhà trong hẻm,4.199,AdditionalInfo(street_size=[3.0])
" Đường Nam Đuống, Phường Thượng Thanh, Quận Long Biên, Hà Nội",5.5,,,74.0,6,,4,"Biệt thự, nhà liền kề",4.5,AdditionalInfo(street_size=[18.0])
" Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",4.5,,,62.0,4,,4,Nhà trong hẻm,11.5,AdditionalInfo(street_size=[8.0])
" Phố Vũ Phạm Hàm, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",5.0,,,100.0,6,,7,Nhà mặt tiền,15.5,AdditionalInfo(street_size=[6.0])
" Phố Nguyễn Văn Tuyết, Phường Trung Liệt, Quận Đống Đa, Hà Nội",4.0,,,40.0,4,,5,Nhà mặt tiền,14.0,AdditionalInfo(street_size=[7.0])
" Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",,,,65.0,5,,5,Nhà trong hẻm,15.9,AdditionalInfo(street_size=[8.0])
" Đường Bưởi, Phường Cống Vị, Quận Ba Đình, Hà Nội",,,,66.0,8,,7,Nhà trong hẻm,12.5,AdditionalInfo(street_size=[8.0])
" Đường Trần Khát Chân, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",7.5,,,98.0,2,,2,Nhà mặt tiền,20.0,AdditionalInfo(street_size=[20.0])
" Đường Tựu Liệt, Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội",4.3,,,37.0,4,,4,Nhà trong hẻm,2.52,AdditionalInfo(street_size=[3.0])
" số 255 Đường Nguyễn Khang, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",3.5,Tây,,38.0,3,,5,Nhà trong hẻm,3.8,AdditionalInfo(street_size=[3.0])
" Đường Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội",7.0,,,136.0,---,,,"Đất thổ cư, đất ở",11.5,AdditionalInfo(street_size=[7.0])
" Hà Nội Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",5.4,,,42.0,4,,4,Nhà trong hẻm,4.05,AdditionalInfo(street_size=[5.0])
" Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",4.2,Tây Bắc,,66.0,12,,7,Nhà mặt tiền,11.8,AdditionalInfo(street_size=[8.0])
" Phố Nguyễn Văn Tuyết, Phường Trung Liệt, Quận Đống Đa, Hà Nội",4.5,,,40.0,5,,7,Nhà mặt tiền,14.8,AdditionalInfo(street_size=[20.0])
" Phố Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",3.6,,,56.0,6,,5,Nhà mặt tiền,5.25,AdditionalInfo(street_size=[8.0])
" Phố Tôn Thất Tùng, Phường Khương Thượng, Quận Đống Đa, Hà Nội",4.6,,,47.0,2,,2,Nhà trong hẻm,5.5,AdditionalInfo(street_size=[2.6])
" Xã Nam Phương Tiến, Huyện Chương Mỹ, Hà Nội",,,,430.0,---,,,"Đất thổ cư, đất ở",1.3,AdditionalInfo(street_size=[5.0])
" Xã Khánh Thượng, Huyện Ba Vì, Hà Nội",20.0,,,780.0,---,,,"Đất thổ cư, đất ở",1.0,AdditionalInfo(street_size=[4.0])
" Đường Giếng Mứt, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",4.2,,,30.0,2,,4,Nhà trong hẻm,2.45,AdditionalInfo(street_size=[3.0])
" Phố Hồng Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",3.8,,,15.0,2,,5,Nhà trong hẻm,1.5,AdditionalInfo(street_size=[3.0])
" Tuệ Tĩnh Phố Tuệ Tĩnh, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",6.0,,,242.0,6,,7,Nhà mặt tiền,182.0,AdditionalInfo(street_size=[15.0])
" Đường Phú Cát, Xã Phú Cát, Huyện Quốc Oai, Hà Nội",6.5,,,100.0,---,,,"Đất thổ cư, đất ở",1.7,AdditionalInfo(street_size=[8.0])
" Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",5.5,,,100.0,2,,2,Nhà mặt tiền,29.9,AdditionalInfo(street_size=[20.0])
" Đường Nguyễn Hoàng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",5.0,,,86.0,6,,7,Nhà mặt tiền,30.0,AdditionalInfo(street_size=[50.0])
" Đại lộ Thăng Long, Xã Tân Xã, Huyện Thạch Thất, Hà Nội",7.8,,,73.0,---,,,"Đất thổ cư, đất ở",1.2,AdditionalInfo(street_size=[7.0])
" Đại lộ Thăng Long, Xã Hạ Bằng, Huyện Thạch Thất, Hà Nội",5.0,,,100.0,---,,,"Đất thổ cư, đất ở",1.25,AdditionalInfo(street_size=[8.0])
" Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",3.2,,,25.0,3,,5,Nhà trong hẻm,2.17,AdditionalInfo(street_size=[2.0])
" Đường Nguyễn Hoàng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",4.5,,,80.0,7,,7,Nhà mặt tiền,32.8,AdditionalInfo(street_size=[25.0])
" Quốc lộ 21A, Xã Phú Cát, Huyện Quốc Oai, Hà Nội",5.0,,,100.0,---,,,"Đất thổ cư, đất ở",1.8,AdditionalInfo(street_size=[10.0])
" Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",4.0,,,34.0,3,,5,Nhà trong hẻm,3.5,AdditionalInfo(street_size=[2.5])
" Phường Sài Đồng, Quận Long Biên, Hà Nội",12.6,,,225.0,6,,4,"Biệt thự, nhà liền kề",23.0,AdditionalInfo(street_size=[16.0])
" Đường Lưu Hữu Phước, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",5.0,,,125.0,5,,5,Nhà mặt tiền,17.0,AdditionalInfo(street_size=[30.0])
" Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",6.0,,,33.0,3,,5,Nhà trong hẻm,3.15,AdditionalInfo(street_size=[3.0])
" Đường Láng Thượng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",3.6,,,62.0,4,,4,Nhà trong hẻm,9.5,AdditionalInfo(street_size=[5.0])
" Đường Vũ Phạm Hàm, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",4.5,,,75.0,5,,5,Nhà mặt tiền,32.0,AdditionalInfo(street_size=[20.0])
" Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",3.7,,,40.0,4,,4,Nhà trong hẻm,4.3,AdditionalInfo(street_size=[2.5])
" Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",,,,38.0,4,,4,Nhà trong hẻm,3.75,AdditionalInfo(street_size=[2.0])
" Đường Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",10.0,,,380.0,4,,4,Nhà mặt tiền,305.0,AdditionalInfo(street_size=[40.0])
