address,area,direction,furniture,numBath,numBed,numFloor,price,type,type_detail,url
"???ng L?c Long Quân, Ph??ng B??i, Qu?n Tây H?, Hà N?i",33,Tây,N?i th?t cao c?p,1,1,1,0.6,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-tay-ho-ha-noi/83963799.htm
"???ng Nguy?n Hoàng, Ph??ng M? ?ình 1, Qu?n Nam T? Liêm, Hà N?i",144,,,,3,1,4.05,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90239185.htm
"???ng Qu?c l? 32, Ph??ng Phúc Di?n, Qu?n B?c T? Liêm, Hà N?i",50,Nam,N?i th?t ??y ??,1,2,1,0.5,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/90143233.htm
"???ng Tr?n Cung, Ph??ng C? Nhu? 1, Qu?n B?c T? Liêm, Hà N?i",50,Tây B?c,N?i th?t ??y ??,1,2,1,0.68,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/88268849.htm
"???ng Nguy?n V?n C?, Ph??ng Ng?c Lâm, Qu?n Long Biên, Hà N?i",45,Tây,N?i th?t ??y ??,1,2,1,0.63,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/89046616.htm
"???ng Nguy?n C?nh D?, Ph??ng ??i Kim, Qu?n Hoàng Mai, Hà N?i",66,,,,2,1,1.584,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/90398744.htm
"???ng ??i l? Th?ng Long, Ph??ng Tây M?, Qu?n Nam T? Liêm, Hà N?i",46.5,?ông B?c,Hoàn thi?n c? b?n,1,2,1,1.68,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90398848.htm
"???ng Yên Bình, Ph??ng Yên Ngh?a, Qu?n Hà ?ông, Hà N?i",33,,Hoàn thi?n c? b?n,,3,1,1.55,C?n h?/Chung c?,Officetel,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/90398898.htm
"???ng ??i l? Th?ng Long, Ph??ng Tây M?, Qu?n Nam T? Liêm, Hà N?i",30,Tây Nam,,1,1,1,1.065,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90399722.htm
"???ng ??i l? Th?ng Long, Ph??ng Tây M?, Qu?n Nam T? Liêm, Hà N?i",59,,Hoàn thi?n c? b?n,2,2,1,1.8,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90311221.htm
"11/60, ???ng L??ng Ng?c Quy?n, Ph??ng V?n Quán, Qu?n Hà ?ông, Hà N?i",61.1,Tây B?c,,3,5,1,5.4,C?n h?/Chung c?,T?p th?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/90400301.htm
"Khu ??t I.C32, Khu ??t I.C32 K?T Nam Th?ng Long, Ph??ng ?ông Ng?c, Qu?n B?c T? Liêm, Hà N?i",114,,N?i th?t cao c?p,2,3,1,4.388,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/90400395.htm
"???ng V? Tr?ng Ph?ng, Ph??ng Nhân Chính, Qu?n Thanh Xuân, Hà N?i",45,,,1,2,1,0.68,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/89195457.htm
"???ng Nguy?n Ng?c V?, Qu?n C?u Gi?y, Hà N?i",70,,,,2,1,2.6,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/90400638.htm
"CT8C K?T Vi?t H?ng, Phan V?n ?áng, Ph??ng Vi?t H?ng, Qu?n Long Biên, Hà N?i",81,Tây B?c,Hoàn thi?n c? b?n,2,3,1,2.4,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/90400649.htm
???ng Nguy?n Phong S?c,45,Tây B?c,N?i th?t ??y ??,1,2,1,0.65,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/88686006.htm
"???ng Giáp Nh?t, Ph??ng Kh??ng Trung, Qu?n Thanh Xuân, Hà N?i",60,Tây B?c,N?i th?t ??y ??,2,2,1,0.52,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/89821032.htm
"???ng Nguy?n Lân, Ph??ng Ph??ng Li?t, Qu?n Thanh Xuân, Hà N?i",50,,N?i th?t cao c?p,Nhi?u h?n 6 phòng,9,1,6.29,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/90395663.htm
"???ng ??i M?, Ph??ng ??i M?, Qu?n Nam T? Liêm, Hà N?i",62,Nam,,2,2,1,2.1,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90396178.htm
"???ng Nguy?n V?n L?c, Ph??ng M? Lao, Qu?n Hà ?ông, Hà N?i",110,,N?i th?t cao c?p,3,3,1,3.9,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/90343190.htm
"???ng 70, Ph??ng ??i M?, Qu?n Nam T? Liêm, Hà N?i",62,?ông Nam,Hoàn thi?n c? b?n,2,2,1,2.2,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90396393.htm
"177, ???ng Phúc Di?n, Ph??ng Phúc Di?n, Qu?n B?c T? Liêm, Hà N?i",30,?ông,Hoàn thi?n c? b?n,1,1,1,0.58,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/90363590.htm
"???ng Nguy?n C? Th?ch, Ph??ng C?u Di?n, Qu?n Nam T? Liêm, Hà N?i",80,,,1,2,1,1.92,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90396866.htm
"???ng Lê ??c Th?, Ph??ng M? ?ình 2, Qu?n Nam T? Liêm, Hà N?i",93,,,2,3,1,3.2,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90397297.htm
"???ng Phùng H?ng, Ph??ng Phúc La, Qu?n Hà ?ông, Hà N?i",63,Tây,N?i th?t ??y ??,1,2,1,1.33,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/90397376.htm
"Khu ?ô th? m?i C?u B??u, Xã Tân Tri?u, Huy?n Thanh Trì, Hà N?i",111,Tây Nam,Hoàn thi?n c? b?n,2,3,1,1.7,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-huyen-thanh-tri-ha-noi/90397406.htm
"???ng Quan Hoa, Ph??ng Quan Hoa, Qu?n C?u Gi?y, Hà N?i",55,?ông Nam,N?i th?t cao c?p,2,2,1,1.28,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/90397473.htm
"67, ???ng Nguy?n V?n C?, Ph??ng B? ??, Qu?n Long Biên, Hà N?i",50,Tây B?c,N?i th?t ??y ??,1,2,1,0.6,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/90397521.htm
"2, ???ng Châu Pha, Ph??ng ??c Giang, Qu?n Long Biên, Hà N?i",80,?ông Nam,Hoàn thi?n c? b?n,2,2,1,2.4,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/90397525.htm
"???ng Nguy?n Trãi, Ph??ng Nhân Chính, Qu?n Thanh Xuân, Hà N?i",56,?ông,N?i th?t ??y ??,1,2,1,0.6,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/90397726.htm
"???ng ??i l? Th?ng Long, Ph??ng Tây M?, Qu?n Nam T? Liêm, Hà N?i",55,,,2,2,1,1.85,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90397733.htm
"???ng Kim Mã, Ph??ng Kim Mã, Qu?n Ba ?ình, Hà N?i",52,,,,2,1,1.18,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/90397897.htm
"36, 36 ???ng Ph?m Hùng, Ph??ng M? ?ình 2, Qu?n Nam T? Liêm, Hà N?i",97,Tây,,2,3,1,3,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90397904.htm
"???ng Xã ?àn, Ph??ng Khâm Thiên, Qu?n ??ng ?a, Hà N?i",50,Nam,N?i th?t cao c?p,2,2,1,0.5,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/90397984.htm
"???ng Phùng H?ng, Ph??ng Phúc La, Qu?n Hà ?ông, Hà N?i",63,,,2,2,1,1.33,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/90398320.htm
"???ng Nguy?n Khánh Toàn, Ph??ng Quan Hoa, Qu?n C?u Gi?y, Hà N?i",50,Nam,N?i th?t ??y ??,2,2,1,0.5,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/90398387.htm
"???ng Tr??ng Chinh, Ph??ng Kh??ng Th??ng, Qu?n ??ng ?a, Hà N?i",50,,,1,2,1,0.89,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/88382106.htm
