address,area,direction,floornumber,furniture,numBath,numBed,numFloor,price,price_m2,type,type_detail,url
"Đường Phan Trọng Tuệ, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",42.0,Đông Nam,,,1,1,1,0.65,0.01548,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/huyen-thanh-tri/mua-ban-can-ho-chung-cu/89657946.htm
"Đường Nguyễn Thị Định, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",78.0,Đông Bắc,,Nội thất đầy đủ,1,2,1,2.22,0.02846,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-can-ho-chung-cu/89654228.htm
"Đường Phương Mai, Phường Kim Liên, Quận Đống Đa, Hà Nội",30.0,,,Nội thất cao cấp,1,1,1,0.57,0.019,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-can-ho-chung-cu/88154284.htm
"Phố Quan Nhân, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",56.0,,6,,2,2,1,1.08,0.01929,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-can-ho-chung-cu/89650308.htm
"Đường Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội",35.0,,5,,1,1,1,0.59,0.01686,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-can-ho-chung-cu/84525967.htm
"Số 30, Số 30 Đường Trần Hữu Dực, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",61.0,Tây Bắc,6,Nội thất cao cấp,2,2,1,0.0401,657.377 đ/m²,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-can-ho-chung-cu/88233149.htm
"bờ sông, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",110.0,,,,2,3,1,3.5,0.03182,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-can-ho-chung-cu/89501884.htm
"Đường Nguyễn Văn Huyên, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",136.0,,,,,3,1,4.02,0.02956,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-tay-ho/mua-ban-can-ho-chung-cu/89651152.htm
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",39.0,,,,1,2,1,0.69,0.01769,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-can-ho-chung-cu/88557400.htm
"7, ngách 35, ngõ Thổ Quan, Đống Đa, HN, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",53.0,,7,,2,2,1,1.3,0.02453,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-can-ho-chung-cu/89651447.htm
"30 phạm văn đồng, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",92.0,,,,2,2,1,2.5,0.02717,Căn hộ/Chung cư,Chung cư,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-can-ho-chung-cu/89501519.htm
