address,area,direction,furniture,numBath,numBed,numFloor,price,property_back,property_road,type,type_detail,url
"Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",50.0,,,6,6,,7.0,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/88736048.htm
"Đường Lương Định Của, Phường Phương Mai, Quận Đống Đa, Hà Nội",17.0,,,2,2,4,0.00215,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89441503.htm
"Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",30.0,Đông Nam,Nội thất đầy đủ,2,3,3,1.52,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/89046551.htm
"Đường Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",55.0,,,,4,,5.4,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89441543.htm
"Đường Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội",31.0,,Nội thất đầy đủ,3,3,4,5.4,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89441571.htm
"Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",41.0,,,3,3,3,3.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89441604.htm
"Đường Quốc lộ 23B, Xã Võng La, Huyện Đông Anh, Hà Nội",31.0,Nam,Nội thất cao cấp,3,3,4,1.75,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/huyen-dong-anh/mua-ban-nha-dat/87887886.htm
"Đường Nhân Trạch, Phường Phú Lương, Quận Hà Đông, Hà Nội",51.0,Tây Bắc,Nội thất đầy đủ,2,2,2,2.1,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/89348331.htm
"Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",50.0,Đông Nam,,4,4,5,5.8,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89441304.htm
"10, Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",52.0,,Nội thất cao cấp,6,5,6,9.0,,,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89441307.htm
